,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Publicação,Recurso,Categoria
59,Dilma,3/21/2016,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia em face da Presidente da República Dilma Vana Rousseff em relação aos fatos expostos: 1) Da nomeação do Procurador de Justiça do Ministério Público do Estado da Bahia Wellington César Lima e Silva para Cargo de Ministro da Justiça e 2) Da nomeação do Ex-Presidente Luis Inácio Lula da Silva para o cargo de Ministro Chefe da Casa Civil, com desvio de finalidade e com o objetivo de obstruir a ação do Poder Judiciário, da Polícia Federal e do Ministério Público Federal.",Deputado Federal Laerte Rodrigues Bessa - PR/DF,Arquivado,4/4/2016,"Arquivada em 04/04/2016

Publicado no Suplemento ao DCD n. 45, de 05/04/16 - p. 91","Não houve apresentação

",Crime de responsabilidade
60,Dilma,3/23/2016,"55ª
Eduardo Cunha - PMDB/RJ","Em aditamento à denúncia protocolada em 15/10/15 (ou alternativamente que seja considerada nova denúncia em face da Presidente da República, Dilma Rousseff), reitera os anteriores e adiciona novos fatos que configurariam crime de responsabilidade, como doações ileigais para a campanha presidencial de 2014, compra de apoio político, delação premiada do Sen. Delcídio do Amaral, desvio de finalidade quando da nomeação de ato de nomeação.                                                                                                                     Resumo: 1) Reiteração da denúncia apresentada pelo mesmo autor em 15 de outubro de 2015, rejeitada em 2 de dezembro de 2015: alegações não conhecidas. 2) Compra da Refinaria de Pasadena: alegação rejeitada, por falta de individualização das condutas da denunciada e porque referente a fatos anteriores ao atual mandato. 3) Financiamento da campanha presidencial de 2014 com dinheiro roubado da Petrobras: a alegação rejeitada, por falta de individualização das condutas da debubjiada, 4) Compra de apoio de partidos aliados pelos partidos aliados pelos partidos dos Trabalhadore: alegação rejeitada, por falta de indiviadualização das condutas da denunciada. 5) Tentativa de obstrução da Operação Lava-Jato por meio da indicação de Ministro do STJ. 6) Tentativa de obstrução da atividade jurisdicional por meio da nomeação do ex-Presidente Lula para o cargo de Ministro de Eestado.",Luis Carlos Crema,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 326
(Tomo I/III)",Não houve apresentação,Crime eleitoral
61,Dilma,3/28/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia por crime de responsabilidade em face da Presidente da República, Sra. Dilma Vana Roussef, pelos seguintes motivos: Resumo: 1) Opnião favorável à DCR n. 1/2015: não conhecida, porque não traduz alegação de prática de crime e porque, mesmo que entendida como tal, ja está submetida à apreciação da Câmara dos Deputados; 2) Insenção tributária concedida à FIFA pela Lei n. 12.350/2010: alegação rejeitada, por falta de individualização das condutas da denunciada e porque a Lei 12.350/2010 foi editada antes do primeiro mandato dela; 3) Tentativa de obstrução da Operação Lava Jato por meio da indicação do Ministro do STJ: denúncia recebida. 4) tentativa de obstrução da atividade jurisdicional por meio da nomeação do ex-Presidente Lula para o cargo de Ministro de Estado.
",Cláudio Pacheco Prates Lamachia-Presidente da Ordem dos Advogados do Brasil,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 883
(Tomo II/III)",Não houve apresentação,Crime de responsabilidade
62,Dilma,3/28/2016,"55ª
Eduardo Cunha - PMDB/RJ","Denúncia em face do crime de responsabilidade cometido pela Presidente da República, Sra. Dilma Roussef. Alega que houve desvio de finalidade na nomeação do Ex-Presidente Luiz Inácio Lula da Silva para o cargo de Ministro de Estado da Casa Civil.    Resumo: tentativa de obstrução na atividade parlamentar jurisdicional por meio da nomeação do ex-presidente Lula para o cargo de Ministro de Estado,",Danilo Visconti e Mario Wilson da Cruz Mesquita,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 2451
(Tomo III/III)",Não houve apresentação,Crime de responsabilidade
63,Dilma,4/6/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente da República, Dilma Vana Roussef, por crimes de responsabilidade e improbidade administrativa. Fatos mencionados pelo denunciante: nomeação e posse do Sr. Luiz Inácio Lula da Silva como ministro, termo de posse apócrifo; nomeação do Ministro Jacques Wagner para ministério inexistente (atos jurídicos nulos).",Marcos Aurélio Paschoali,Arquivado,4/25/2016,"Arquivado em 25/04/2016
*
Publicado no Suplemento ao DCD nº 61, de 26/04/2016 - p. 3",Não houve apresentação,Crime de responsabilidade
64,Dilma,4/14/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente da República, Dilma Vana Roussef, por crimes de responsabilidade e improbidade administrativa. Fatos mencionados pelo denunciante: nomeação e posse do Sr. Luiz Inácio Lula da Silva como ministro.",Rodrigo Silva Lima,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 2530
(Tomo III/III) ",Não houve apresentação,Crime de responsabilidade
65,Dilma,4/14/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente da República, Dilma Vana Roussef, por crime de responsabilidade e improbidade administrativa. Fatos mencionados pelo denunciante: ""para tentar manter-se no cargo Dilma está usando de artifícios nebulosos, golpeando em cheio a Constituição Federal, ao trocar cargos públicos por votos, ...""",Mario Berti Filho,Arquivado,4/25/2016,"Arquivado em 25/04/2016
*
Publicado no Suplemento ao DCD nº 61, de 26/04/2016 - p. 45",Não houve apresentação,Decoro presidencial
66,Dilma,5/3/2016,"55ª
Eduardo Cunha - PMDB/RJ",Apresenta pedido de impeachment contra a Presidente Dilma. Fato: utilização de recursos indevidos na campanha política das eleições de 2014,Roque Saldanha,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 -
 p. 2590 - (Tomo III/III)",Não houve apresentação,Crime eleitoral
67,Dilma,5/3/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresentam deúncia por crime de responsabilidade e consequente declaração de impedimento em face da Presidente da República, Sra. Dilma Rousseff. Fatos: Prática de infrações político-administrativas, operação lava jato, decretos editados sem autorização do CN,nomeação do ex-Presidente Luiz Inácio Lula da Silva como Ministro (desvio de finalidade) quadro de ofertas do governo que inclui cargos de 1º, 2º e 3º escalão.",Marcelo Cristiano Reis e Alexandre de Andrade,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 2595
(Tomo III/III)",Não houve apresentação,Crime de responsabilidade
68,Dilma,5/6/2016,"55ª
Eduardo Cunha - PMDB/RJ","Apresenta denúncia contra a Presidente da República, Dilma Vana Rousseff, e solicita instaurar processo no Senado Federal por crimes praticados, inclusive crime de responsabilidade, e que sejam determinadas providências para o cumprimento da decisão proferida pela Câmara dos Deputados e pelo STF no RE 410.778.",João Gilberto Araujo Pontes,Arquivado,9/30/2016,"Arquivado em 30/09/2016

Publicado no Suplemento ao DCD nº 173, de 01/10/2016 - p. 2679
(Tomo III/III)",Não houve apresentação,Crime de responsabilidade
